STACKQL_SERVICE,STACKQL_RESOURCE,STACKQL_METHOD,SQL_VERB,OBJECT_KEY,RESPONSE_SHAPE,OPERATION_ID,REQUIRED_PARAMS,HTTP_PATH,HTTP_VERB
aiplatform,featurestores,list,select,$.featurestores,GoogleCloudAiplatformV1ListFeaturestoresResponse,aiplatform.projects.locations.featurestores.list,projects|locations,//v1/projects/{projectsId}/locations/{locationsId}/featurestores,GET
aiplatform,featurestores,get,select,,GoogleCloudAiplatformV1Featurestore,aiplatform.projects.locations.featurestores.get,projects|locations|featurestores,//v1/projects/{projectsId}/locations/{locationsId}/featurestores/{featurestoresId},GET
aiplatform,featurestores,patch,update,,GoogleLongrunningOperation,aiplatform.projects.locations.featurestores.patch,projects|locations|featurestores,//v1/projects/{projectsId}/locations/{locationsId}/featurestores/{featurestoresId},PATCH
aiplatform,featurestores,delete,delete,,GoogleLongrunningOperation,aiplatform.projects.locations.featurestores.delete,projects|locations|featurestores,//v1/projects/{projectsId}/locations/{locationsId}/featurestores/{featurestoresId},DELETE
aiplatform,featurestores,batch_read_feature_values,exec,,GoogleLongrunningOperation,aiplatform.projects.locations.featurestores.batchReadFeatureValues,projects|locations|featurestores,//v1/projects/{projectsId}/locations/{locationsId}/featurestores/{featurestoresId}:batchReadFeatureValues,POST
aiplatform,featurestores,search_features,exec,,GoogleCloudAiplatformV1SearchFeaturesResponse,aiplatform.projects.locations.featurestores.searchFeatures,projects|locations,//v1/projects/{projectsId}/locations/{locationsId}/featurestores:searchFeatures,GET
aiplatform,entity_types_iam_policies,set_iam_policy,replace,,GoogleIamV1Policy,aiplatform.projects.locations.featurestores.entityTypes.setIamPolicy,projects|locations|featurestores|entityTypes,//v1/projects/{projectsId}/locations/{locationsId}/featurestores/{featurestoresId}/entityTypes/{entityTypesId}:setIamPolicy,POST
aiplatform,entity_types_iam_policies,get_iam_policy,select,$.bindings,GoogleIamV1Policy,aiplatform.projects.locations.featurestores.entityTypes.getIamPolicy,projects|locations|featurestores|entityTypes,//v1/projects/{projectsId}/locations/{locationsId}/featurestores/{featurestoresId}/entityTypes/{entityTypesId}:getIamPolicy,POST
aiplatform,entity_types_iam_policies,test_iam_permissions,exec,,GoogleIamV1TestIamPermissionsResponse,aiplatform.projects.locations.featurestores.entityTypes.testIamPermissions,projects|locations|featurestores|entityTypes,//v1/projects/{projectsId}/locations/{locationsId}/featurestores/{featurestoresId}/entityTypes/{entityTypesId}:testIamPermissions,POST
aiplatform,entity_types,read_feature_values,exec,,GoogleCloudAiplatformV1ReadFeatureValuesResponse,aiplatform.projects.locations.featurestores.entityTypes.readFeatureValues,projects|locations|featurestores|entityTypes,//v1/projects/{projectsId}/locations/{locationsId}/featurestores/{featurestoresId}/entityTypes/{entityTypesId}:readFeatureValues,POST
aiplatform,entity_types,streaming_read_feature_values,exec,,GoogleCloudAiplatformV1ReadFeatureValuesResponse,aiplatform.projects.locations.featurestores.entityTypes.streamingReadFeatureValues,projects|locations|featurestores|entityTypes,//v1/projects/{projectsId}/locations/{locationsId}/featurestores/{featurestoresId}/entityTypes/{entityTypesId}:streamingReadFeatureValues,POST
aiplatform,entity_types,write_feature_values,exec,,GoogleCloudAiplatformV1WriteFeatureValuesResponse,aiplatform.projects.locations.featurestores.entityTypes.writeFeatureValues,projects|locations|featurestores|entityTypes,//v1/projects/{projectsId}/locations/{locationsId}/featurestores/{featurestoresId}/entityTypes/{entityTypesId}:writeFeatureValues,POST
aiplatform,entity_types,create,insert,,GoogleLongrunningOperation,aiplatform.projects.locations.featurestores.entityTypes.create,projects|locations|featurestores,//v1/projects/{projectsId}/locations/{locationsId}/featurestores/{featurestoresId}/entityTypes,POST
aiplatform,entity_types,list,select,$.entityTypes,GoogleCloudAiplatformV1ListEntityTypesResponse,aiplatform.projects.locations.featurestores.entityTypes.list,projects|locations|featurestores,//v1/projects/{projectsId}/locations/{locationsId}/featurestores/{featurestoresId}/entityTypes,GET
